AccountId,AssistantName,AssistantPhone,Birthdate,BuyerAttributes,ContactSource,CreatedById,CreatedDate,Department,DepartmentGroup,Description,Email,EmailBouncedDate,EmailBouncedReason,External_ID__c,Fax,FirstName,GenderIdentity,HomePhone,Id,Income_Bracket__c,IndividualId,IsDeleted,IsEmailBounced,Jigsaw,JigsawContactId,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastModifiedById,LastModifiedDate,LastName,LastReferencedDate,LastViewedDate,LeadSource,MailingAddress,MailingCity,MailingCountry,MailingGeocodeAccuracy,MailingLatitude,MailingLongitude,MailingPostalCode,MailingState,MailingStreet,MasterRecordId,MobilePhone,Name,OtherAddress,OtherCity,OtherCountry,OtherGeocodeAccuracy,OtherLatitude,OtherLongitude,OtherPhone,OtherPostalCode,OtherState,OtherStreet,OwnerId,Phone,PhotoUrl,ReportsToId,Salutation,SystemModstamp,Title,TitleType
001NS00001c9KifYAE,,,29/05/1976,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Sales,,,lisa.smith@cybermail.com,,,CON-48563741,,Lisa,Female,,003NS00000x8ti5YAA,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Smith,,,,,Glennmouth,United States,,,,99162,Idaho,0529 Mccormick Course,,229.378.7584,Lisa Smith,,,,,,,,,,,005NS00000SoFQLYA3,(528)722-3142x42997,/services/images/photo/003NS00000x8ti5YAA,,,2025-07-17T05:56:07.000Z,VP of Sales,
001NS00001c9KifYAE,,,22/11/1990,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Marketing,,,robertdavis676@netmail.com,,,CON-48563742,,Robert,Male,,003NS00000x8ti6YAA,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Davis,,,,,Haroldshire,United States,,,,10058,North Dakota,6908 Johnson Vista,,(331)539-3620x58087,Robert Davis,,,,,,,,,,,005NS00000SoFQLYA3,-3240,/services/images/photo/003NS00000x8ti6YAA,,,2025-07-17T05:56:07.000Z,CMO,
001NS00001c9KifYAE,,,13/02/1994,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Executive,,,annasanchez3@mailstream.com,,,CON-48563743,,Anna,Female,,003NS00000x8ti7YAA,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Sanchez,,,,,Parrishstad,United States,,,,46419,Utah,9982 Moore Springs Apt. 996,,001-563-674-4157,Anna Sanchez,,,,,,,,,,,005NS00000SoFQLYA3,220-506-9578x1314,/services/images/photo/003NS00000x8ti7YAA,,,2025-07-17T05:56:07.000Z,President,
001NS00001c9KifYAE,,,30/09/1986,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,IT,,,pamela.stuart@elettter.io,,,CON-48563744,,Pamela,Female,,003NS00000x8ti8YAA,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Stuart,,,,,East Rodney,United States,,,,2703,Virginia,784 Daniel Island,,(851)208-8317,Pamela Stuart,,,,,,,,,,,005NS00000SoFQLYA3,982-916-2436,/services/images/photo/003NS00000x8ti8YAA,,,2025-07-17T05:56:07.000Z,IT Director,
001NS00001c9KifYAE,,,21/06/1941,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Executive,,,steven.mills@postbox.com,,,CON-48563745,,Steven,Male,,003NS00000x8ti9YAA,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Mills,,,,,East Brandon,United States,,,,78098,Connecticut,10531 Andrea Stravenue,,933-548-6583x320,Steven Mills,,,,,,,,,,,005NS00000SoFQLYA3,651.801.7769x27776,/services/images/photo/003NS00000x8ti9YAA,,,2025-07-17T05:56:07.000Z,CEO,
001NS00001c9KigYAE,,,18/10/1977,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Finance,,,christopherwilliams596@mailwave.com,,,CON-48563746,,Christopher,Male,,003NS00000x8tiAYAQ,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Williams,,,,,Port Gregg,United States,,,,9490,Arizona,407 Clifford Landing,,713-733-3626x2638,Christopher Williams,,,,,,,,,,,005NS00000SoFQLYA3,(891)969-5867,/services/images/photo/003NS00000x8tiAYAQ,,,2025-07-17T05:56:07.000Z,Financial Analyst,
001NS00001c9KihYAE,,,6/08/1978,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Marketing,,,carolcox813@elettter.io,,,CON-48563747,,Carol,Female,,003NS00000x8tiBYAQ,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Cox,,,,,South Bobbyberg,United States,,,,74530,Arkansas,78412 Lewis Row Suite 178,,6828900579,Carol Cox,,,,,,,,,,,005NS00000SoFQLYA3,+1-507-514-4216x145,/services/images/photo/003NS00000x8tiBYAQ,,,2025-07-17T05:56:07.000Z,Marketing Manager,
001NS00001c9KihYAE,,,20/02/1937,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Sales,,,mitchellrodriguez361@cybermail.com,,,CON-48563748,,Mitchell,Male,,003NS00000x8tiCYAQ,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Rodriguez,,,,,Lake Evelynville,United States,,,,53578,New Jersey,5251 Cisneros Crest Suite 511,,-5275,Mitchell Rodriguez,,,,,,,,,,,005NS00000SoFQLYA3,(257)772-9866x14823,/services/images/photo/003NS00000x8tiCYAQ,,,2025-07-17T05:56:07.000Z,VP of Sales,
001NS00001c9KihYAE,,,14/01/1972,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Sales,,,davidstephens957@cybermail.com,,,CON-48563749,,David,Male,,003NS00000x8tiDYAQ,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Stephens,,,,,New Patriciatown,United States,,,,18764,Ohio,88405 Combs Skyway,,(350)471-0198x23212,David Stephens,,,,,,,,,,,005NS00000SoFQLYA3,756.694.2088x0095,/services/images/photo/003NS00000x8tiDYAQ,,,2025-07-17T05:56:07.000Z,VP of Sales,
001NS00001c9KihYAE,,,23/08/1971,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Marketing,,,alicecastillo118@inboxer.com,,,CON-85637410,,Alice,Female,,003NS00000x8tiEYAQ,,,FALSE,FALSE,,,,,,005NS00000SoFQLYA3,2025-07-17T05:56:07.000Z,Castillo,,,,,Coreyton,United States,,,,27073,Indiana,236 Robert Causeway Apt. 975,,(379)424-9620,Alice Castillo,,,,,,,,,,,005NS00000SoFQLYA3,685.387.3651,/services/images/photo/003NS00000x8tiEYAQ,,,2025-07-17T05:56:07.000Z,Marketing Manager,
